Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt10530176,2023-11-21,2023-11-21,,"The Call","Kol",https://www.imdb.com/title/tt10530176/,Movie,7.1,112,2020,"Crime, Horror, Mystery, Sci-Fi, Thriller",51277,2020-11-27,"Chung-Hyun Lee"
2,tt11385128,2023-11-21,2023-11-21,,"V","V",https://www.imdb.com/title/tt11385128/,Movie,6.8,140,2020,"Action, Crime, Thriller",9874,2020-09-05,"Mohana Krishna Indraganti"
3,tt10556036,2023-11-24,2023-11-24,,"Jiivi","Jiivi",https://www.imdb.com/title/tt10556036/,Movie,7.7,122,2019,"Drama, Thriller",2057,2019-06-28,"V.J. Gopinath"
4,tt7057496,2023-11-21,2023-11-21,,"Forgotten","Gi-eok-ui bam",https://www.imdb.com/title/tt7057496/,Movie,7.4,108,2017,"Crime, Mystery, Thriller",58591,2018-02-21,"Jang Hang-jun"
5,tt7019942,2023-11-24,2023-11-24,,"Super Deluxe","Super Deluxe",https://www.imdb.com/title/tt7019942/,Movie,8.2,176,2019,"Comedy, Crime, Drama, Thriller",19610,2019-04-05,"Thiagarajan Kumararaja"
6,tt15353762,2023-11-24,2023-11-24,,"Jiivi 2","Jiivi 2",https://www.imdb.com/title/tt15353762/,Movie,6.5,122,2022,"Drama",562,2022-08-19,"V.J. Gopinath"
7,tt8108268,2023-11-21,2023-11-21,,"The Tashkent Files","The Tashkent Files",https://www.imdb.com/title/tt8108268/,Movie,8.1,134,2019,"Drama, Mystery, Thriller",38475,2019-04-12,"Vivek Agnihotri"
8,tt10545484,2023-11-21,2023-11-21,,"Evaru","Evaru",https://www.imdb.com/title/tt10545484/,Movie,8.1,118,2019,"Mystery, Thriller",9565,2019-08-16,"Venkat Ramji"
9,tt10811166,2023-11-21,2023-11-21,,"The Kashmir Files","The Kashmir Files",https://www.imdb.com/title/tt10811166/,Movie,8.5,170,2022,"Drama",578136,2022-03-11,"Vivek Agnihotri"
10,tt24059780,2023-11-25,2023-11-25,,"Virupaksha","Virupaksha",https://www.imdb.com/title/tt24059780/,Movie,7.2,145,2023,"Action, Horror, Mystery, Thriller",7054,2023-04-21,"Karthik Varma Dandu"
11,tt11323316,2023-11-21,2023-11-21,,"Penguin","Penguin",https://www.imdb.com/title/tt11323316/,Movie,4.5,132,2020,"Drama, Mystery, Thriller",2676,2020-06-19,"Eashvar Karthic"
12,tt11953248,2023-11-21,2023-11-21,,"Garuda Gamana Vrishabha Vahana","Garuda Gamana Vrishabha Vahana",https://www.imdb.com/title/tt11953248/,Movie,8.2,151,2021,"Crime, Drama, Thriller",9134,2021-11-19,"Raj B. Shetty"
13,tt9900782,2023-11-21,2023-11-21,,"Kaithi","Kaithi",https://www.imdb.com/title/tt9900782/,Movie,8.4,145,2019,"Action, Crime, Thriller",50382,2019-10-25,"Lokesh Kanagaraj"
14,tt9179430,2023-11-21,2023-11-21,,"Vikram","Vikram",https://www.imdb.com/title/tt9179430/,Movie,8.3,175,2022,"Action, Crime, Thriller",87675,2022-06-03,"Lokesh Kanagaraj"
15,tt15654328,2023-11-21,2023-11-21,,"Leo","Leo",https://www.imdb.com/title/tt15654328/,Movie,7.2,164,2023,"Action, Crime, Drama, Thriller",72729,2023-10-19,"Lokesh Kanagaraj"
16,tt3417422,2023-11-21,2023-11-21,,"Drishyam","Drishyam",https://www.imdb.com/title/tt3417422/,Movie,8.4,160,2013,"Crime, Drama, Mystery, Thriller",47142,2013-12-19,"Jeethu Joseph"
17,tt12361178,2023-11-21,2023-11-21,,"Drishyam 2","Drishyam 2",https://www.imdb.com/title/tt12361178/,Movie,8.4,152,2021,"Crime, Drama, Mystery, Thriller",44112,2021-02-19,"Jeethu Joseph"
18,tt11490170,2023-11-21,2023-11-21,,"Hit","Hit",https://www.imdb.com/title/tt11490170/,Movie,7.6,125,2020,"Crime, Drama, Mystery, Thriller",10481,2020-02-28,"Sailesh Kolanu"
19,tt14279982,2023-11-21,2023-11-21,,"HIT: The 2nd Case","HIT: The 2nd Case",https://www.imdb.com/title/tt14279982/,Movie,7.2,150,2022,"Crime, Drama, Mystery, Thriller",11490,2022-12-02,"Sailesh Kolanu"
20,tt13551614,2023-11-21,2023-11-21,,"Kuruthi","Kuruthi",https://www.imdb.com/title/tt13551614/,Movie,7.5,122,2021,"Thriller",6816,2021-08-11,"Manu Warrier"
21,tt5372466,2023-11-21,2023-11-21,,"Iru Mugan","Iru Mugan",https://www.imdb.com/title/tt5372466/,Movie,6.3,154,2016,"Action, Sci-Fi, Thriller",4694,2016-09-09,"Anand Shankar"
22,tt3394420,2023-11-21,2023-11-21,,"Ulidavaru Kandanthe","Ulidavaru Kandanthe",https://www.imdb.com/title/tt3394420/,Movie,8.4,154,2014,"Crime, Drama, Thriller",10085,2014-07,"Rakshit Shetty"
23,tt13206926,2023-11-21,2023-11-21,,"Joji","Joji",https://www.imdb.com/title/tt13206926/,Movie,7.7,113,2021,"Crime, Drama",12628,2021-04-07,"Dileesh Pothan"
24,tt2911666,2023-11-21,2023-11-21,,"John Wick","John Wick",https://www.imdb.com/title/tt2911666/,Movie,7.5,101,2014,"Action, Crime, Thriller",809978,2015-04-10,"Chad Stahelski"
25,tt4425200,2023-11-21,2023-11-21,,"John Wick: Chapter 2","John Wick: Chapter 2",https://www.imdb.com/title/tt4425200/,Movie,7.4,122,2017,"Action, Crime, Thriller",559271,2017-02-17,"Chad Stahelski"
26,tt6146586,2023-11-21,2023-11-21,,"John Wick: Chapter 3 - Parabellum","John Wick: Chapter 3 - Parabellum",https://www.imdb.com/title/tt6146586/,Movie,7.4,130,2019,"Action, Crime, Drama, Thriller",470624,2019-05-17,"Chad Stahelski"
27,tt0144084,2023-11-21,2023-11-21,,"American Psycho","American Psycho",https://www.imdb.com/title/tt0144084/,Movie,7.6,102,2000,"Comedy, Crime, Drama, Horror",814300,2000-04-21,"Mary Harron"
28,tt7838252,2023-11-21,2023-11-21,,"K.G.F","K.G.F: Chapter 1",https://www.imdb.com/title/tt7838252/,Movie,8.2,154,2018,"Action, Crime, Drama, Thriller",109000,2018-12-21,"Prashanth Neel"
29,tt10698680,2023-11-21,2023-11-21,,"K.G.F: Chapter 2","K.G.F: Chapter 2",https://www.imdb.com/title/tt10698680/,Movie,8.2,166,2022,"Action, Crime, Drama, Thriller",166707,2022-04-13,"Prashanth Neel"
30,tt0993846,2023-11-21,2023-11-21,,"The Wolf of Wall Street","The Wolf of Wall Street",https://www.imdb.com/title/tt0993846/,Movie,8.2,180,2013,"Biography, Comedy, Crime, Drama",1743768,2014-01-17,"Martin Scorsese"
31,tt15560626,2023-11-21,2023-11-21,,"Bhoothakaalam","Bhoothakaalam",https://www.imdb.com/title/tt15560626/,Movie,7.4,105,2022,"Drama, Horror, Mystery",5415,2022-01-21,"Rahul Sadasivan"
32,tt24517458,2023-11-21,2023-11-21,,"RDX: Robert Dony Xavier","RDX: Robert Dony Xavier",https://www.imdb.com/title/tt24517458/,Movie,7.0,151,2023,"Action, Adventure",6124,2023-09-24,"Nahas Hidhayath"
33,tt10594792,2023-11-21,2023-11-21,,"Mafia","Mafia",https://www.imdb.com/title/tt10594792/,Movie,5.9,113,2020,"Action, Crime, Drama",1844,2020-02-21,"Karthick Naren"
34,tt11375428,2023-11-21,2023-11-21,,"Hridayam","Hridayam",https://www.imdb.com/title/tt11375428/,Movie,8.0,172,2022,"Drama, Musical, Romance",20013,2022-01-28,"Vineeth Sreenivasan"
35,tt12299714,2023-11-21,2023-11-21,,"Thittam Irandu","Thittam Irandu",https://www.imdb.com/title/tt12299714/,Movie,7.1,120,2021,"Crime, Drama, Mystery, Thriller",3012,2021-07-30,"Vignesh Karthick"
36,tt12472554,2023-11-21,2023-11-21,,"Mahaan","Mahaan",https://www.imdb.com/title/tt12472554/,Movie,7.7,163,2022,"Action, Drama, Thriller",18874,2022-02-10,"Karthik Subbaraj"
37,tt7479902,2023-11-21,2023-11-21,,"Gultoo","Gultoo",https://www.imdb.com/title/tt7479902/,Movie,7.8,128,2018,"Crime, Drama",1624,2018-04-13,"Janardhan Chikkanna"
38,tt6380520,2023-11-21,2023-11-21,,"Dhuruvangal Pathinaaru","Dhuruvangal Pathinaaru",https://www.imdb.com/title/tt6380520/,Movie,8.2,105,2016,"Crime, Drama, Mystery, Thriller",18689,2016-12-29,"Karthick Naren"
39,tt7179714,2023-11-21,2023-11-21,,"Iravukku Aayiram Kangal","Iravukku Aayiram Kangal",https://www.imdb.com/title/tt7179714/,Movie,7.3,122,2018,"Action, Thriller",1512,2018-05-11,"Mu. Maran"
40,tt9544034,2023-11-21,2023-11-21,,"The Family Man","The Family Man",https://www.imdb.com/title/tt9544034/,TV Series,8.7,45,2019,"Action, Comedy, Crime, Drama, Thriller",109981,2019-09-20,
41,tt14167390,2023-11-21,2023-11-21,,"House of Secrets: The Burari Deaths","House of Secrets: The Burari Deaths",https://www.imdb.com/title/tt14167390/,TV Mini Series,7.4,45,2021,"Documentary, Crime, History, Mystery",14067,2021-10-08,
42,tt21811888,2023-11-21,2023-11-21,,"Indian Predator: The Diary of a Serial Killer","Indian Predator: The Diary of a Serial Killer",https://www.imdb.com/title/tt21811888/,TV Series,6.2,,2022,"Documentary, Crime, History",2346,2022-09-07,
43,tt10919420,2023-11-21,2023-11-21,,"Squid Game","Ojing-eo geim",https://www.imdb.com/title/tt10919420/,TV Series,8.0,60,2021,"Action, Crime, Drama, Mystery, Thriller",732938,2021-09-17,
44,tt7060344,2023-11-21,2023-11-21,,"Raatchasan","Ratsasan",https://www.imdb.com/title/tt7060344/,Movie,8.3,146,2018,"Crime, Drama, Mystery, Thriller",58388,2018-10-05,"Ram Kumar"
45,tt10717738,2023-11-21,2023-11-21,,"Anjaam Pathiraa","Anjaam Pathiraa",https://www.imdb.com/title/tt10717738/,Movie,7.9,144,2020,"Crime, Mystery, Thriller",11796,2020-01-31,"Midhun Manuel Thomas"
46,tt6836602,2023-11-21,2023-11-21,,"Traataka","Traataka",https://www.imdb.com/title/tt6836602/,Movie,8.2,127,2018,"Crime, Thriller",97,2018-08-31,"Shivaganesh"
47,tt12299774,2023-11-21,2023-11-21,,"November Story","November Story",https://www.imdb.com/title/tt12299774/,TV Series,7.6,40,2021,"Crime, Mystery, Thriller",7293,2021-05-20,
48,tt3824442,2023-11-21,2023-11-21,,"Sarabham","Sarabham",https://www.imdb.com/title/tt3824442/,Movie,7.1,133,2014,"Mystery",618,2014-08-01,"Arun Mohan"
49,tt13391710,2023-11-21,2023-11-21,,"Jana Gana Mana","Jana Gana Mana",https://www.imdb.com/title/tt13391710/,Movie,8.3,162,2022,"Drama, Thriller",21432,2022-04-28,"Dijo Jose Antony"
50,tt7797658,2023-11-21,2023-11-21,,"Awe!","Awe!",https://www.imdb.com/title/tt7797658/,Movie,7.6,150,2018,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",6404,2018-02-16,"Prasanth Varma"
51,tt6747242,2023-11-21,2023-11-21,,"8 Thottakkal","8 Thottakkal",https://www.imdb.com/title/tt6747242/,Movie,7.5,145,2017,"Thriller",2471,2017-04-07,"Sri Ganesh, Sundaramurthy Ks, T Siva, Dilip Subarayan"
